Station	Variable	Timestamp	Valeur	Ligne	PK	X	Y
STADE DE FRANCE	T Ambiant	25/06/2015 00:00	18,73600006	272000	4127	652331,83	6868909,61
STADE DE FRANCE	T Ambiant	25/06/2015 00:10	18,43099976	272000	4127	652331,83	6868909,61
STADE DE FRANCE	T Ambiant	25/06/2015 00:20	18,52099991	272000	4127	652331,83	6868909,61
BEAUVAIS	T Ambiant	27/07/2015 19:55	17,34399986	325000	78608	633828,2	6925574,09
BEAUVAIS	T Ambiant	27/07/2015 21:10	16,41799927	325000	78608	633828,2	6925574,09
BEAUVAIS	T Ambiant	27/07/2015 22:10	15,46500015	325000	78608	633828,2	6925574,09
BEAUVAIS	T Ambiant	27/07/2015 23:00	15,77900028	325000	78608	633828,2	6925574,09
BEAUVAIS	T Ambiant	28/07/2015 00:05	15,20699978	325000	78608	633828,2	6925574,09
BEAUVAIS	T Ambiant	28/07/2015 00:50	15,02600002	325000	78608	633828,2	6925574,09
BEAUVAIS	T Ambiant	28/07/2015 01:00	14,51099968	325000	78608	633828,2	6925574,09
BEAUVAIS	T Ambiant	28/07/2015 01:40	14,68700027	325000	78608	633828,2	6925574,09
PONTOISE	T Ambiant	12/08/2015 06:10	20,16200066	330000	29383	633810,39	6883384,45
PONTOISE	T Ambiant	12/08/2015 06:45	20,67700005	330000	29383	633810,39	6883384,45
PONTOISE	T Ambiant	12/08/2015 07:05	21,12999916	330000	29383	633810,39	6883384,45
PONTOISE	T Ambiant	12/08/2015 07:35	22,58399963	330000	29383	633810,39	6883384,45
PONTOISE	T Ambiant	12/08/2015 07:40	23,12299919	330000	29383	633810,39	6883384,45
PONTOISE	T Ambiant	12/08/2015 07:50	23,09399986	330000	29383	633810,39	6883384,45
BRY SUR MARNE	T Coupon	18/08/2015 06:10	14,34399986	957000	13112	665018,87	6859717,52
BRY SUR MARNE	T Coupon	18/08/2015 07:05	15,73700047	957000	13112	665018,87	6859717,52
BRY SUR MARNE	T Coupon	18/08/2015 08:15	16,36599922	957000	13112	665018,87	6859717,52
BRY SUR MARNE	T Coupon	18/08/2015 09:05	17,8390007	957000	13112	665018,87	6859717,52
